,text,label
582,"According to Sepp+ñnen , the new technology UMTS900 solution network building costs are by one-third lower than that of the building of 3.5 G networks , operating at 2,100 MHz frequency .",positive
228,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,positive
4004,"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",negative
1413,"To showcase our end-to-end capabilities at the Mobile World Congress , we arranged an internal MeeGo application development competition to entice developers to create new applications .",neutral
2079,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral
613,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",negative
3581,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,neutral
3213,"On preliminary estimate , the hotel will operate under the brand Novotel .",neutral
300,"Finnish Larox has signed a contract with the Talvivaara Project for the delivery of filters to the Talvivaara nickel mine in Sotkamo , in Finland .",positive
363,The value of the firm 's forestry holdings increased by SEK 3.6 bn .,positive
3262,The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations .,positive
1115,QPR product family is fully compatible with Microsoft 's Windows 7 operating system .,neutral
3854,Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,negative
2376,"Alma Media Corporation PRESS RELEASE March 25 , 2010 TYRV+ä+äN SANOMAT PURCHASE CONFIRMED The business operations of Tyrv+ñ+ñn Sanomat Oy will be transferred to Suomen Paikallissanomat Oy .",neutral
2031,"Componenta is a metal sector company with international operations and production plants located in Finland , the Netherlands , Sweden and Turkey .",neutral
3150,"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",neutral
1071,Ingen is an established medical device manufacturer with an emerging new medical product line for the respiratory market worth an estimated $ 4 billion in the U.S. and $ 8 billion globally .,neutral
2422,Changes to the as-built models from the design were communicated to the subcontractors to accommodate them into the steel and GRC fabrication process .,neutral
1077,Its 168 asset management experts manage assets worth over EUR 35 billion .,neutral
3902,"29 September , 2010 Finnish waste management and recycling company Lassila & Tikanoja expands its operations in Russia by introducing its recently completed recycling plant in the city of Dubna near Moscow .",positive
4044,"Coca-Cola was the market leader of manufacturers with a market share of 36.9 % , down 2.2 % from the corresponding period in 2004-2005 .",negative
1012,Also the traditional grapevine carries a lot of weight .,neutral
2980,"Virala Oy Ab was allocated by the Board of Directors an amount of EUR 1,9 million which is EUR 0,25 million lower than maximum announced on 12/30/2010 .",neutral
3371,The order also includes extensive maintenance work of a shoe press delivered by Vaahto in 2001 .,neutral
3906,The court found TelecomInvest 's arguments convincing .,positive
1982,Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards .,neutral
322,"Last year the company raised its turnover to approximately 7 million litas EUR 2 mln , from 6.1 million litas in 2004 .",positive
2146,Production is scheduled to start by the end of April 2007 .,neutral
2534,Investment management and investment advisory services are the company 's sole line of business .,neutral
1663,Airbus has 100 firm orders for the A350 and 89 nonbinding commitments .,positive
3275,The business development initiatives in North America are headed by Lynn Shanahan .,neutral
3256,Teleste expects to start the deliveries at the end of 2009 .,neutral
3022,"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral
1124,"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",neutral
3309,The contract includes an option to deliver an additional 75 ASCs in the next phases of the project .,neutral
1302,"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",neutral
3432,"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",neutral
2556,Kemira shares closed at (  x20ac ) 16.66 ( $ 22US .71 ) .,neutral
1025,"CapMan has four investment areas ( CapMan Buyout , CapMan Technology , CapMan Life Science and CapMan Real Estate ) , and each of them has a dedicated team .",neutral
2274,"The share capital of Alma Media Corporation business ID 1944757-4 is EUR 44,767,513.80 and it is divided into 74,612,523 shares .",neutral
1395,"The study evaluated the safety , tolerability and pharmacokinetics of repeated doses of intravenously administered antibody in 26 patients with active plaque psoriasis .",neutral
2530,Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,neutral
600,Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,negative
1207,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia 's special economic zone at Sriperumbudur near Chennai .,neutral
429,"Cargotec 's share capital after the increase totals EUR 64,299,180 .",neutral
2879,"The RME from Telcontar enables the handset to calculate the best route and includes support for user-defined routes , feature navigability and multi-modal routing such as via foot and ferry .",neutral
